patent,asgseq,asgtype,assignee,City,State,Country,zip,generated_sort
RE043892,,03,"Toshiba Tec Kabushiki Kaisha",Tokyo,,JP,,2
RE043893,,03,"LG Electronics Inc.",Seoul,,KR,,1
RE043894,,02,"The Johns Hopkins University",Baltimore,MD,US,,1
RE043895,,03,"3D Scanners Limited",Derby,,GB,,1
RE043896,,02,"California Institute of Technology",Pasadena,CA,US,,1
RE043897,,03,"Sharp Kabushiki Kaisha",Osaka,,JP,,1
RE043898,,02,"Glaxo Wellcome Inc. Research","Triangle Park",NC,US,,1
RE043899,,02,"Immunogen Inc.",Waltham,MA,US,,1
RE043900,,03,"GE Medical Systems Kretztechnik GmbH & Co. OHG",Zipf,,AT,,1
RE043901,,03,"InSightec Ltd.","Tirat Carmel",,IL,,1
RE043902,,02,"Incept, LLC","San Mateo",CA,US,,1
RE043903,,02,"Richmond IP Holdings, LLC",Richmond,VA,US,,1
RE043904,,02,"StoneEagle Services, Inc.",Richardson,TX,US,,1
RE043905,,02,"Comp Sci Holdings, Limited Liability Company",Wilmington,DE,US,,1
RE043906,,02,"Guardian Data Storage LLC",Wilmington,DE,US,,1
RE043907,,03,"Sony Corporation",,,JP,,1
08341763,,03,"adidas International Marketing B.V.",Amsterdam,,NL,,1
08341766,,02,"Taylor Made Golf Company, Inc.",Carlsbad,CA,US,,1
08341767,,02,"Warrior Sports, Inc.",Warren,MI,US,,1
08341768,,03,"Molnlycke Health Care AB",Gothenburg,,SE,,1
08341769,,03,"Arc'Teryx Equipment Inc.","North Vancouver, British Columbia",,CA,,1
08341770,,02,"Drexel University",Philadelphia,PA,US,,1
08341771,,03,"HJC Corporation",Gyeonggi-Do,,KR,,1
08341773,,03,"Airbus Operations GmbH",,,DE,,1
08341775,,02,"Zenith Products Corporation","New Castle",DE,US,,1
